league,season,date,home_team,away_team,odds_home,odds_draw,odds_away,control_score_10,chaos_score_10,likely_1x2,confidence,model_home_prob,model_draw_prob,model_away_prob,over25_signal,btts_signal,both_over,both_btts,data_warning,probability_profile,home_stats_n,away_stats_n,home_ppg,away_ppg,home_over25_rate,away_over25_rate,home_btts_rate,away_btts_rate,mode,matchday,cutoff_date,train_rows,test_group_size,model_name,model_trained_ok,model_error,recommended_market_type,recommended_market_subtype,recommended_market_read,recommendation_strength,risk_note,league_profile,league_adjusted_strength,league_profile_note,league_warning_flags,league_preferred_subtype,league_suppressed_subtype,actual_result,actual_home_goals,actual_away_goals,actual_total_goals,actual_over25,actual_under25,actual_under35,actual_btts,type_success,subtype_success,month,odds_bucket,ctrl_bucket,chaos_bucket,fav_side,season_phase
Eredivisie,2023,2023-11-12,Utrecht,Excelsior,1.8,3.8,4.2,5.43,4.35,Home,MEDIUM,0.639,0.2943,0.0667,unclear,unclear,False,False,False,,10,10,0.8,1.1,0.4,0.7,0.4,0.7,walk_forward,2023-11-12,2023-11-12,101,5,logistic_regression,True,,OBSERVE_ONLY,NONE,mixed_signal_observe,LOW,diagnostic_only,eredivisie_goals,LOW,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,D,2.0,2.0,4.0,1,0,0,1,,,2023-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,early
Eredivisie,2023,2023-11-12,Feyenoord,AZ Alkmaar,1.55,4.5,5.25,5.82,4.72,Home,MEDIUM,0.6864,0.2411,0.0725,OVER likely,BTTS YES likely,False,False,False,,10,10,2.5,2.6,0.9,0.6,0.7,0.5,walk_forward,2023-11-12,2023-11-12,101,5,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,SUPPRESSED,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",Eredivisie: BOTH_OVER25_BTTS unreliable even in goals league.,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,H,1.0,0.0,1.0,0,1,1,0,False,False,2023-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2023,2023-11-12,Volendam,Sparta Rotterdam,3.25,3.6,2.15,4.72,4.55,Home,LOW,0.4945,0.2517,0.2538,unclear,BTTS YES likely,False,False,False,,10,10,0.8,1.2,0.7,0.5,0.7,0.5,walk_forward,2023-11-12,2023-11-12,101,5,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A,1.0,4.0,5.0,1,0,0,1,True,,2023-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),AWAY_FAVORITE,mid
Eredivisie,2023,2023-11-12,PSV Eindhoven,Zwolle,1.1,11.0,21.0,8.37,4.33,Home,HIGH,0.9908,0.0084,0.0007,OVER likely,unclear,False,False,False,,10,10,3.0,1.4,1.0,0.5,0.4,0.6,walk_forward,2023-11-12,2023-11-12,101,5,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,H,4.0,0.0,4.0,1,0,0,0,True,True,2023-11,heavy_fav (<=1.5),high (7-10),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2023,2023-11-12,Almere City,Ajax,5.0,4.75,1.53,5.86,4.57,Draw,MEDIUM,0.0364,0.8669,0.0967,OVER likely,BTTS YES likely,False,False,False,,10,10,1.2,1.1,0.5,0.8,0.5,0.7,walk_forward,2023-11-12,2023-11-12,101,5,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,SUPPRESSED,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",Eredivisie: BOTH_OVER25_BTTS unreliable even in goals league.,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,D,2.0,2.0,4.0,1,0,0,1,True,True,2023-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Eredivisie,2023,2023-11-25,Excelsior,Feyenoord,11.0,7.0,1.2,8.13,5.07,Draw,HIGH,0.0066,0.9604,0.0329,OVER likely,BTTS YES likely,True,True,False,,10,10,1.1,2.7,0.7,0.8,0.7,0.6,walk_forward,2023-11-25,2023-11-25,106,5,logistic_regression,True,,BTTS_OVER,BOTH_OVER25_BTTS,goals_profile_preferred_over_hard_1x2,LOW,league_goal_profile_supports_signal,eredivisie_goals,SUPPRESSED,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",Eredivisie: BOTH_OVER25_BTTS unreliable even in goals league.,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A,2.0,4.0,6.0,1,0,0,1,True,True,2023-11,heavy_fav (<=1.5),high (7-10),medium (4-6),AWAY_FAVORITE,mid
Eredivisie,2023,2023-11-25,Heerenveen,For Sittard,2.05,3.5,3.6,4.75,4.71,Away,MEDIUM,0.0384,0.395,0.5665,OVER likely,unclear,True,False,False,,10,10,0.7,0.9,0.8,0.7,0.6,0.4,walk_forward,2023-11-25,2023-11-25,106,5,logistic_regression,True,,AVOID,AVOID_VOLATILE,model_market_disagreement_low_control,LOW,disagreement_plus_low_control,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,H,3.0,0.0,3.0,1,0,1,0,True,,2023-11,medium_fav (2.0-2.5),low (3-5),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2023,2023-11-25,Twente,PSV Eindhoven,3.8,3.6,1.91,5.78,4.28,Draw,MEDIUM,0.0932,0.6628,0.2439,OVER likely,unclear,False,False,False,,10,10,2.1,3.0,0.5,1.0,0.5,0.3,walk_forward,2023-11-25,2023-11-25,106,5,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A,0.0,3.0,3.0,1,0,1,0,True,True,2023-11,strong_fav (1.5-2.0),medium (5-7),medium (4-6),AWAY_FAVORITE,mid
Eredivisie,2023,2023-11-25,Ajax,Vitesse,1.3,5.5,9.5,6.7,4.25,Home,MEDIUM,0.7656,0.1365,0.0979,OVER likely,unclear,False,False,False,,10,10,0.9,0.5,0.8,0.4,0.7,0.4,walk_forward,2023-11-25,2023-11-25,106,5,logistic_regression,True,,BTTS_OVER,OVER_25,goals_profile_preferred_over_hard_1x2,MEDIUM,league_goal_profile_supports_signal,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,H,5.0,0.0,5.0,1,0,0,0,True,True,2023-11,heavy_fav (<=1.5),medium (5-7),medium (4-6),HOME_FAVORITE,mid
Eredivisie,2023,2023-11-25,Zwolle,Waalwijk,1.75,3.8,4.33,5.75,3.23,Draw,LOW,0.4105,0.4219,0.1676,unclear,unclear,False,False,False,,10,10,1.4,0.9,0.5,0.5,0.5,0.3,walk_forward,2023-11-25,2023-11-25,106,5,logistic_regression,True,,DOUBLE_CHANCE,DOUBLE_CHANCE_1X,home_or_draw_1X,MEDIUM,favorite_direction_but_control_below_hard_1x2,eredivisie_goals,HIGH,"Eredivisie is a high-scoring, volatile goals league. OVER_25 is viable here (65.5%) unlike most other leagues. BOTH_OVER25_BTTS remains unreliable even in this goals context.",,"OVER_25, DOUBLE_CHANCE_1X, DOUBLE_CHANCE_X2",BOTH_OVER25_BTTS,A,1.0,2.0,3.0,1,0,1,1,False,False,2023-11,strong_fav (1.5-2.0),medium (5-7),low (<4),HOME_FAVORITE,mid
